ticker  name    index   price   market_cap
POLN	Pollen Street	FTSE Small Cap	688.00	441.8
BGS	Baillie Gifford Shin Nippon	FTSE Small Cap	140.60	441.7
VLX	Volex Group	FTSE AIM	274.50	436.7
DIG	Dunedin Income Growth Inv Trust	FTSE Small Cap	294.00	435.9
BOKU	Boku Inc	FTSE AIM	146.00	434.8
MTVW	Mountview Estates		11,100.00	432.8
RWI	Renewi	FTSE Small Cap	538.00	431.7
WHR	Warehouse REIT	FTSE 250	101.60	431.7
TFW	Thorpe (F W)	FTSE AIM	366.00	429.1
SYNT	Synthomer	FTSE 250	91.80	429.0
ATR	Schroder Asian Total Return Investment Company	FTSE Small Cap	412.00	428.8
PINT	Pantheon Infrastructure	FTSE Small Cap	89.20	428.2
FTSE 250 automatic exit position			
TET	Treatt	FTSE Small Cap	701.00	427.1
OXB	Oxford BioMedica	FTSE Small Cap	442.00	425.6
MPE	M.P. Evans Group	FTSE AIM	786.00	423.3
CSN	Chesnara	FTSE Small Cap	281.00	422.6
CGI	Canadian General Investments Ltd		2,055.00	422.1
PCTN	Picton Property Income Ltd	FTSE Small Cap	76.70	420.0
